com_insee,reg_nom,dep_nom,latitude_mairie,longitude_mairie,score_de_ville
01171,Auvergne-Rhône-Alpes,Ain,46.251,5.613,0.3257318845676244
01330,Auvergne-Rhône-Alpes,Ain,46.004,5.653,0.3278543919452408
01042,Auvergne-Rhône-Alpes,Ain,46.219,4.846,0.3163946748163213
01129,Auvergne-Rhône-Alpes,Ain,45.966,5.195,0.3084357180019792
01227,Auvergne-Rhône-Alpes,Ain,45.775,5.715,0.3406307160570101
01019,Auvergne-Rhône-Alpes,Ain,45.854,5.584,0.306941528470615
01234,Auvergne-Rhône-Alpes,Ain,45.801,5.716,0.3248931567466713
01428,Auvergne-Rhône-Alpes,Ain,46.115,4.866,0.3123042949847904
01023,Auvergne-Rhône-Alpes,Ain,46.386,4.884,0.3015130535444328
01277,Auvergne-Rhône-Alpes,Ain,46.0,5.458,0.308908477882149
01359,Auvergne-Rhône-Alpes,Ain,46.08,5.061,0.3227816443247351
01242,Auvergne-Rhône-Alpes,Ain,46.065,5.442,0.3179663591391424
01214,Auvergne-Rhône-Alpes,Ain,46.162,5.476,0.317204885487056
01036,Auvergne-Rhône-Alpes,Ain,45.885,5.651,0.3379378222817941
01382,Auvergne-Rhône-Alpes,Ain,46.014,4.936,0.3546019477453196
01146,Auvergne-Rhône-Alpes,Ain,46.142,4.901,0.3126141626216781
01013,Auvergne-Rhône-Alpes,Ain,45.891,5.499,0.2956610940383454
01400,Auvergne-Rhône-Alpes,Ain,45.798,5.498,0.2999488962070765
01056,Auvergne-Rhône-Alpes,Ain,46.036,5.463,0.3044301506740697
01100,Auvergne-Rhône-Alpes,Ain,45.823,5.605,0.2992310842797028
01309,Auvergne-Rhône-Alpes,Ain,46.322,5.423,0.309063067662801
01066,Auvergne-Rhône-Alpes,Ain,45.86,5.546,0.2854889929933449
01177,Auvergne-Rhône-Alpes,Ain,46.207,5.433,0.3094555649591372
01193,Auvergne-Rhône-Alpes,Ain,45.656,5.639,0.3026397608988453
01456,Auvergne-Rhône-Alpes,Ain,45.813,5.725,0.3384813342218341
